2026-06-23 16:28:37.418 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:29:37.421 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:29:37.425 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:29:37.426 [scheduling-1] INFO  NotifyScheduler - [[[주기 통보 실행 결정]]] - schedule: 주기|1-5|000501|2|230501, 493번째 실행, slotTime: 2026-06-23T16:29:01
2026-06-23 16:30:37.438 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:30:37.443 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:31:37.446 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
2026-06-23 16:31:37.450 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 완료 - absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, 유효 스케쥴 건수: 2
2026-06-23 16:31:37.451 [scheduling-1] INFO  NotifyScheduler - [[[주기 통보 실행 결정]]] - schedule: 주기|1-5|000501|2|230501, 494번째 실행, slotTime: 2026-06-23T16:31:01
2026-06-23 16:32:37.464 [scheduling-1] INFO  NotifyScheduleParser - 통보 스케쥴 파일 파싱 시작 - filePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf, absolutePath: C:\Users\20200161\Desktop\PreCheck_work\Precheck_project\Precheck_SKSCh1\precheck_collect\notify\schedule_sample\PreCheck_NotifyLogs_Schedule.conf
